volatile acidity,chlorides,density,alcohol,quality,Wine Type_Red,Wine Type_White
0.3652173913043477,0.6979166666666667,0.6447527141133911,0.2333333333333334,0.3333333333333333,1.0,0.0
0.3652173913043477,0.9270833333333334,0.5844390832328117,0.3000000000000001,0.3333333333333333,1.0,0.0
0.3652173913043477,0.8645833333333334,0.5965018094089263,0.3000000000000001,0.3333333333333333,1.0,0.0
0.34782608695652173,0.6875,0.6568154402895056,0.3000000000000001,0.6666666666666666,1.0,0.0
0.3652173913043477,0.6979166666666667,0.6447527141133911,0.2333333333333334,0.3333333333333333,1.0,0.0
0.3652173913043477,0.6875,0.6447527141133911,0.2333333333333334,0.3333333333333333,1.0,0.0
0.9043478260869564,0.625,0.560313630880576,0.2333333333333334,0.3333333333333333,1.0,0.0
0.9913043478260869,0.5833333333333334,0.4517490952955385,0.3333333333333333,1.0,1.0,0.0
0.8695652173913041,0.6666666666666666,0.5844390832328117,0.25,1.0,1.0,0.0
0.7304347826086955,0.6458333333333333,0.6447527141133911,0.4166666666666667,0.3333333333333333,1.0,0.0
0.8695652173913041,0.9166666666666667,0.5301568154402897,0.19999999999999987,0.3333333333333333,1.0,0.0
0.7304347826086955,0.6458333333333333,0.6447527141133911,0.4166666666666667,0.3333333333333333,1.0,0.0
0.9304347826086956,0.8333333333333334,0.4336550060313601,0.3166666666666667,0.3333333333333333,1.0,0.0
0.9217391304347825,0.3958333333333333,0.6206272617611553,0.18333333333333326,0.3333333333333333,1.0,0.0
0.9391304347826086,0.3958333333333333,0.6930036188178559,0.19999999999999987,0.3333333333333333,1.0,0.0
0.9391304347826086,0.3958333333333333,0.6930036188178559,0.19999999999999987,0.3333333333333333,1.0,0.0
0.34782608695652173,0.8645833333333334,0.590470446320869,0.4166666666666667,1.0,1.0,0.0
0.8347826086956521,0.3958333333333333,0.5844390832328117,0.21666666666666679,0.3333333333333333,1.0,0.0
0.8869565217391303,0.8020833333333333,0.6206272617611553,0.16666666666666666,0.0,1.0,0.0
0.417391304347826,0.3958333333333333,0.590470446320869,0.19999999999999987,0.6666666666666666,1.0,0.0
0.2434782608695652,0.7083333333333334,0.5844390832328117,0.2333333333333334,0.6666666666666666,1.0,0.0
0.5391304347826086,0.7604166666666667,0.6688781664656201,0.2833333333333332,0.3333333333333333,1.0,0.0
0.608695652173913,0.3958333333333333,0.5723763570566972,0.25,0.3333333333333333,1.0,0.0
0.7130434782608694,0.7812500000000001,0.5844390832328117,0.2333333333333334,0.3333333333333333,1.0,0.0
0.5565217391304347,0.7916666666666667,0.5844390832328117,0.2833333333333332,0.6666666666666666,1.0,0.0
0.5391304347826086,0.7395833333333334,0.5060313630880606,0.21666666666666679,0.3333333333333333,1.0,0.0
0.5739130434782608,0.7395833333333334,0.5482509047044615,0.25,0.3333333333333333,1.0,0.0
0.608695652173913,0.3958333333333333,0.5723763570566972,0.25,0.3333333333333333,1.0,0.0
0.3652173913043477,0.7395833333333334,0.6085645355850408,0.2333333333333334,0.3333333333333333,1.0,0.0
0.9826086956521739,0.7604166666666667,0.560313630880576,0.3000000000000001,0.6666666666666666,1.0,0.0
0.3652173913043477,0.8333333333333334,0.5241254523522324,0.3499999999999999,0.3333333333333333,1.0,0.0
0.3652173913043477,1.0,0.5723763570566972,0.4333333333333333,0.6666666666666666,1.0,0.0
1.0,0.7708333333333334,0.5723763570566972,0.3000000000000001,0.3333333333333333,1.0,0.0
0.9130434782608695,0.6666666666666666,0.7352231604342567,0.2333333333333334,0.6666666666666666,1.0,0.0
0.417391304347826,0.9791666666666666,0.5180940892641751,0.19999999999999987,0.3333333333333333,1.0,0.0
0.9826086956521739,0.8020833333333333,0.6930036188178559,0.2666666666666666,0.6666666666666666,1.0,0.0
0.9043478260869564,0.8020833333333333,0.6266586248492193,0.4666666666666668,0.6666666666666666,1.0,0.0
0.5217391304347825,0.59375,0.5844390832328117,0.2833333333333332,1.0,1.0,0.0
0.3652173913043477,0.3958333333333333,0.41556091676718826,0.3000000000000001,0.0,1.0,0.0
0.6434782608695652,0.6770833333333334,0.6447527141133911,0.4166666666666667,0.3333333333333333,1.0,0.0
0.6434782608695652,0.6770833333333334,0.6447527141133911,0.4166666666666667,0.3333333333333333,1.0,0.0
0.9217391304347825,0.8229166666666666,0.6326899879372765,0.21666666666666679,0.0,1.0,0.0
0.7130434782608694,0.3958333333333333,0.5844390832328117,0.4166666666666667,0.6666666666666666,1.0,0.0
0.3652173913043477,0.625,0.5844390832328117,0.38333333333333347,0.3333333333333333,1.0,0.0
0.3652173913043477,0.4270833333333333,0.5482509047044615,0.25,0.3333333333333333,1.0,0.0
0.7652173913043477,0.46875,0.379372738238838,0.85,0.0,1.0,0.0
0.3652173913043477,0.3958333333333333,0.5965018094089263,0.19999999999999987,0.3333333333333333,1.0,0.0
0.3652173913043477,0.3958333333333333,0.590470446320869,0.25,0.3333333333333333,1.0,0.0
0.5565217391304347,0.59375,0.5241254523522324,0.19999999999999987,0.3333333333333333,1.0,0.0
0.3999999999999999,0.6770833333333334,0.49999999999999667,0.19999999999999987,0.3333333333333333,1.0,0.0
0.3652173913043477,0.6770833333333334,0.6025331724969835,0.19999999999999987,0.3333333333333333,1.0,0.0
0.7652173913043477,0.625,0.5120627261761179,0.2333333333333334,0.6666666666666666,1.0,0.0
0.7304347826086955,0.6145833333333334,0.5060313630880606,0.2333333333333334,0.6666666666666666,1.0,0.0
0.5217391304347825,0.7500000000000001,0.5965018094089263,0.2333333333333334,0.3333333333333333,1.0,0.0
0.7478260869565216,0.3958333333333333,0.5060313630880606,0.36666666666666653,0.6666666666666666,1.0,0.0
0.9391304347826086,0.7812500000000001,0.6447527141133911,0.25,0.3333333333333333,1.0,0.0
0.5913043478260869,0.6354166666666667,0.6025331724969835,0.2666666666666666,0.3333333333333333,1.0,0.0
0.9565217391304347,0.3958333333333333,0.6749095295536773,0.2333333333333334,0.3333333333333333,1.0,0.0
0.8869565217391303,0.6979166666666667,0.6266586248492193,0.3333333333333333,0.3333333333333333,1.0,0.0
